date,portfolio_value,benchmark_value,cash,gross_return,daily_return,benchmark_return,buy_turnover,sell_turnover,transaction_cost,total_weight,drawdown
2023-11-20,84013.91560146464,69738.03617106061,0.0,0.003061027545510209,0.003061027545510209,0.0023121743244782778,0.0,-0.0,0.0,1.0,-0.32844832153828885
2023-11-21,84130.74876453872,69830.66089856844,0.0,0.0013906406127799367,0.0013906406127799367,0.0013281808980198928,0.0,-0.0,0.0,1.0,-0.32751443450063944
2023-11-22,83520.55927580687,69115.98514462383,0.0,-0.007252871247343862,-0.007252871247343862,-0.010234412001093762,0.0,-0.0,0.0,1.0,-0.3323918857229037
2023-11-23,83608.90270993343,69449.43606794326,0.0,0.0010577447623983495,0.0010577447623983495,0.004824512341417009,0.0,-0.0,0.0,1.0,-0.3316857267366924
2023-11-24,83207.80748261075,68990.992226207,0.0,-0.0047972789299031374,-0.0047972789299031374,-0.006601116836827181,0.0,-0.0,0.0,1.0,-0.334891816718372
2023-11-27,82178.36942306385,68482.62738875492,0.0,-0.01237189262272085,-0.01237189262272085,-0.007368568287657862,0.0,-0.0,0.0,1.0,-0.3431204637444253
2023-11-28,82078.75865812396,68610.93853471457,0.0,-0.001212128758932729,-0.001212128758932729,0.0018736305958482191,0.0,-0.0,0.0,1.0,-0.3439166863214751
2023-11-29,81383.70940203266,68021.84602948134,0.0,-0.008468077093932758,-0.008468077093932758,-0.008585985235213922,0.0,-0.0,0.0,1.0,-0.3494724504017477
2023-11-30,81823.70845472302,68175.69848213709,0.0,0.005406475766750374,0.005406475766750374,0.002261809427945627,0.0,-0.0,0.0,1.0,-0.34595538896924116
2023-12-01,80798.07539515247,67915.95791325864,0.0,-0.011934668483500444,-0.012534668483500443,-0.003809870300727547,0.4,0.4,0.0006000000000000001,1.0,-0.35415362134193173
2023-12-04,80222.49354417706,67472.52940820823,0.0,-0.0071237074417979775,-0.0071237074417979775,-0.006529076798368338,0.0,-0.0,0.0,1.0,-0.3587544419958365
2023-12-05,78937.59818418094,66187.87547268085,0.0,-0.016016646993010263,-0.016016646993010263,-0.019039658758829403,0.0,-0.0,0.0,1.0,-0.369025045734225
2023-12-06,78905.81876162581,66292.00688020444,0.0,-0.00040258917532529645,-0.00040258917532529645,0.00157327013112174,0.0,-0.0,0.0,1.0,-0.36927906942071387
2023-12-07,78616.44589826657,66129.76602449211,0.0,-0.0036673196970863796,-0.0036673196970863796,-0.002447366784437688,0.0,-0.0,0.0,1.0,-0.3715921247127919
