date,method,rolling_12m_return_percent,rolling_12m_volatility_percent,rolling_12m_sharpe_ratio,rolling_12m_maximum_drawdown_percent
2026-01-06,Walk-Forward Portfolio After Costs,16.222318770041944,15.723363485588946,0.9097886112633572,-10.734317486957924
2026-01-07,Walk-Forward Portfolio After Costs,15.779678326743095,15.734257794610487,0.8850003307845234,-10.734317486957924
2026-01-08,Walk-Forward Portfolio After Costs,15.222903891014994,15.70962171115533,0.855440597566863,-10.734317486957924
2026-01-09,Walk-Forward Portfolio After Costs,16.40402056357926,15.73718096046285,0.9190611861770495,-10.734317486957924
2026-01-12,Walk-Forward Portfolio After Costs,17.24847892933441,15.777972096883792,0.9629304245844931,-10.734317486957924
2026-01-13,Walk-Forward Portfolio After Costs,16.716805285364742,15.795517362341533,0.9332437763757149,-10.734317486957924
2026-01-14,Walk-Forward Portfolio After Costs,14.970455736949217,15.786360743525396,0.8381393005106786,-10.734317486957924
2026-01-15,Walk-Forward Portfolio After Costs,16.096293916440963,15.728658496934909,0.902626884153674,-10.734317486957924
2026-01-16,Walk-Forward Portfolio After Costs,18.74292020098722,15.467576016493723,1.0610166484950772,-10.734317486957924
2026-01-19,Walk-Forward Portfolio After Costs,20.85449531890651,15.435233540517379,1.1771974993796734,-10.734317486957924
2026-01-20,Walk-Forward Portfolio After Costs,22.310274984281353,15.472875218097176,1.2521542628202713,-10.734317486957924
2026-01-21,Walk-Forward Portfolio After Costs,21.913608485892144,15.472786374569461,1.2311487361171811,-10.734317486957924
2026-01-22,Walk-Forward Portfolio After Costs,22.335176883775844,15.470101471634672,1.253668171850091,-10.734317486957924
2026-01-23,Walk-Forward Portfolio After Costs,23.0972062363473,15.453465462593647,1.295069163680111,-10.734317486957924
2026-01-26,Walk-Forward Portfolio After Costs,24.1392042805457,15.401697880671858,1.3536785807364762,-10.734317486957924
2026-01-27,Walk-Forward Portfolio After Costs,23.98822309964497,15.407735568938508,1.3453031236320148,-10.734317486957924
2026-01-28,Walk-Forward Portfolio After Costs,21.71224388330637,15.19154548818534,1.240260717181641,-10.734317486957924
2026-01-29,Walk-Forward Portfolio After Costs,23.726681884393486,15.214909161575694,1.346568193689736,-10.734317486957924
2026-01-30,Walk-Forward Portfolio After Costs,20.605421510209876,15.33513814871012,1.170464844035266,-10.734317486957924
2026-02-02,Walk-Forward Portfolio After Costs,17.177924153452786,15.507497049763286,0.9731390986011729,-10.734317486957924
2026-02-03,Walk-Forward Portfolio After Costs,19.46553397332358,15.58527784107728,1.0931905628191736,-10.734317486957924
2026-02-04,Walk-Forward Portfolio After Costs,21.431233951845208,15.644635617712666,1.1940272949280497,-10.734317486957924
2026-02-05,Walk-Forward Portfolio After Costs,21.363115186982572,15.645571080402284,1.1903758340375585,-10.734317486957924
2026-02-06,Walk-Forward Portfolio After Costs,20.411222246131434,15.658842520997343,1.1391728560711911,-10.734317486957924
