snapshot_date,signal_price_date,baostock_code,symbol,stock_name,industry,close,momentum_20,momentum_60,momentum_120,momentum_12_1,reversal_5_score,volatility_20,downside_volatility_60,drawdown_60,trend_60,liquidity_amount_20,turnover_20,turnover_stability_20,amihud_liquidity_score_20,value_pe_score,value_pb_score,value_ps_score,value_pcf_score,log_float_market_cap
2019-07-31,2019-07-31,sh.600438,600438.SS,通威股份,C38电气机械和器材制造业,12.3632017600,0.0437275986,-0.0057777851,0.4341606998,,-0.0304317056,0.3630683584,0.2193703316,-0.1109070223,0.0110585775,5.9668883719,0.9540458000,-0.3627205008,-0.0038556849,-3.2510724653,-1.3116357374,-0.6854440878,-2.7286600842,24.2580903166
2019-07-31,2019-07-31,sh.600482,600482.SS,中国动力,C37铁路、船舶、航空航天和其他运输设备制造业,24.3695816400,-0.0416508898,0.1483666062,0.1199115044,,-0.0567849687,0.3051464787,0.1615113993,-0.0416508898,0.0854042927,4.7036666329,0.4991434000,-0.4046919439,-0.0154760967,-3.4597426352,-0.4971468951,-0.3231597314,,23.7461185988
2019-07-31,2019-07-31,sh.600487,600487.SS,亨通光电,C38电气机械和器材制造业,15.3557167600,-0.0704794916,-0.2758034359,-0.1304213633,,-0.0031172070,0.2314561338,0.3345951586,-0.2906668588,-0.0555551828,5.6335200305,0.9241730500,-0.2519346505,-0.0031269832,-2.5030467030,-0.8651898400,0.1142398203,-2.1687157004,24.0785626267
2019-07-31,2019-07-31,sh.600489,600489.SS,中金黄金,B09有色金属矿采选业,8.1116464800,-0.0865905569,0.1916052126,0.1299457371,,0.0074155312,0.3449588538,0.2171529014,-0.0962609167,0.0485418558,6.1375678248,1.4006564000,-0.7311619152,-0.0035995218,-5.2444238260,-0.8577204984,0.0886563656,,24.0621660126
2019-07-31,2019-07-31,sh.600498,600498.SS,烽火通信,C39计算机、通信和其他电子设备制造业,26.3441172000,0.0033448124,0.0528507146,0.0190735134,,-0.0298507463,0.2054694504,0.1677101837,-0.0394093996,0.0187321250,5.5138680642,0.8241115500,-0.3100033351,-0.0037674320,-3.6114655464,-1.1538662791,-0.2601117294,-4.1532672503,24.0685579953
2019-07-31,2019-07-31,sh.600516,600516.SS,方大炭素,C30非金属矿物制品业,7.6175023200,-0.0851910828,-0.1038732393,-0.1001040415,,0.0303797468,0.3712342830,0.2176481072,-0.1037441498,-0.0283516092,5.9295637987,1.2097376000,-0.4369646351,-0.0037924590,-1.9477183704,-0.8369660997,-1.1363671844,-2.1924994314,23.7433798271
2019-07-31,2019-07-31,sh.600519,600519.SS,贵州茅台,C15酒、饮料和精制茶制造业,823.1921058000,-0.0154873975,0.1089921614,0.4600636444,,-0.0277272919,0.1583233956,0.1389022280,-0.0574302715,0.0474532796,8.0949320791,0.2688416500,-0.0808883536,-0.0002437790,-3.4345386653,-2.3652639798,-2.6877698717,-3.9261339757,27.6663111855
2019-07-31,2019-07-31,sh.600522,600522.SS,中天科技,C38电气机械和器材制造业,8.2725636000,-0.0508111650,-0.0207931975,0.1366235923,,-0.0045248869,0.1743612267,0.1569450244,-0.0627007955,-0.0134784909,5.2239064054,0.6698730500,-0.1956483166,-0.0040035109,-2.5203311440,-0.3358420381,0.3365810425,-2.6412524186,23.9588567522
2019-07-31,2019-07-31,sh.600535,600535.SS,天士力,C27医药制造业,13.5559947600,-0.0481220657,-0.1870536475,-0.0817637642,,0.0042971148,0.2736335864,0.2471444193,-0.1934047909,-0.0662780440,5.0173983682,0.5918694500,-0.2577685678,-0.0074279158,-2.7165566518,-0.8018195061,-0.2764977606,-3.4005149489,23.7686308592
2019-07-31,2019-07-31,sh.600547,600547.SS,山东黄金,B09有色金属矿采选业,20.6501037600,-0.0080056510,0.4502581756,0.3481600000,,-0.0091017964,0.4146490408,0.2269057214,-0.0532584270,0.1575129818,7.0572183292,1.9508449000,-0.7278215211,-0.0015466872,-4.6468445595,-1.4488207029,-0.5989925329,-4.8968966688,24.0973690036
2019-07-31,2019-07-31,sh.600566,600566.SS,济川药业,C27医药制造业,21.9197133000,-0.0551551238,-0.0654849425,-0.0663218217,,0.0509915014,0.3545408005,0.2016711660,-0.0973096977,-0.0319038047,5.1042070039,0.6351116000,-0.1773448617,-0.0097517686,-2.6527036507,-1.4316049070,-1.2330085572,-3.5715009554,23.6523272019
2019-07-31,2019-07-31,sh.600570,600570.SS,恒生电子,I65软件和信息技术服务业,29.1424924200,0.0459026041,0.2214266169,0.4729652517,,-0.0154263677,0.3010328321,0.1873945073,0.0000000000,0.0821209390,6.8924838543,1.7835245500,-0.6817574268,-0.0010604659,-4.0589687865,-2.7647395605,-2.8440513996,-5.5573502690,23.8359875752
2019-07-31,2019-07-31,sh.600583,600583.SS,海油工程,B11开采专业及辅助性活动,4.5949248000,-0.0163934426,0.0163937820,0.0598970178,,-0.0037174721,0.1442802144,0.1208406541,-0.0655453393,-0.0153070572,3.8113523806,0.1862656000,-0.0611668185,-0.0176274679,-4.8930254609,-0.0524842849,-0.7227385065,,23.7300224145
2019-07-31,2019-07-31,sh.600585,600585.SS,海螺水泥,C30非金属矿物制品业,28.5595553400,-0.0628259839,0.0525759316,0.2944107030,,0.0205649158,0.2293849055,0.1508023648,-0.0870669746,0.0026915482,6.7038394036,0.4951342000,-0.1557559195,-0.0012439756,-1.9068655918,-0.5670713546,-0.4020171708,-3.4906165465,25.4947614263
2019-07-31,2019-07-31,sh.600588,600588.SS,用友网络,I65软件和信息技术服务业,21.6802887500,0.1011106856,0.3248847926,0.4811275061,,-0.0195035461,0.3781510081,0.1996403262,-0.0154109589,0.1442710164,6.2665560459,0.7841093000,-0.3231753505,-0.0027361890,-4.4896608785,-2.4286585568,-2.2048465671,-4.9520995133,24.6361373357
