baostock_code,symbol,stock_name,ipo_date,out_date,security_type,listing_status,industry,industry_classification,industry_update_date,first_hs300_snapshot,last_hs300_snapshot,is_current_hs300_member,source,updated_at
sh.600025,600025.SS,华能水电,2017-12-15,,1,1,D44电力、热力生产和供应业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600026,600026.SS,中远海能,2002-05-23,,1,1,G55水上运输业,证监会行业分类,2026-09-07,2024-06-30,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600027,600027.SS,华电国际,2005-02-03,,1,1,D44电力、热力生产和供应业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600028,600028.SS,中国石化,2001-08-08,,1,1,B07石油和天然气开采业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600029,600029.SS,南方航空,2003-07-25,,1,1,G56航空运输业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600030,600030.SS,中信证券,2003-01-06,,1,1,J67资本市场服务,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600031,600031.SS,三一重工,2003-07-03,,1,1,C35专用设备制造业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600036,600036.SS,招商银行,2002-04-09,,1,1,J66货币金融服务,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600038,600038.SS,中直股份,2000-12-18,,1,1,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类,2026-09-07,2019-01-01,2020-11-30,0,baostock,2026-09-08T21:06:08
sh.600039,600039.SS,四川路桥,2003-03-25,,1,1,E48土木工程建筑业,证监会行业分类,2026-09-07,2023-03-31,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600048,600048.SS,保利发展,2006-07-31,,1,1,K70房地产业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600050,600050.SS,中国联通,2002-10-09,,1,1,I63电信、广播电视和卫星传输服务,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600061,600061.SS,国投资本,1997-05-19,,1,1,J67资本市场服务,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600066,600066.SS,宇通客车,1997-05-08,,1,1,C36汽车制造业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600068,600068.SS,葛洲坝,1997-05-26,2021-09-13,1,0,Unknown,证监会行业分类,2026-09-07,2019-01-01,2021-06-30,0,baostock,2026-09-08T21:06:08
sh.600079,600079.SS,ST人福,1997-06-06,,1,1,C27医药制造业,证监会行业分类,2026-09-07,2021-07-31,2022-05-31,0,baostock,2026-09-08T21:06:08
sh.600085,600085.SS,同仁堂,1997-06-25,,1,1,C27医药制造业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600089,600089.SS,特变电工,1997-06-18,,1,1,C38电气机械和器材制造业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600100,600100.SS,同方股份,1997-06-27,,1,1,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-09-07,2019-01-01,2020-05-31,0,baostock,2026-09-08T21:06:08
sh.600104,600104.SS,上汽集团,1997-11-25,,1,1,C36汽车制造业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600109,600109.SS,国金证券,1997-08-07,,1,1,J67资本市场服务,证监会行业分类,2026-09-07,2019-01-01,2022-05-31,0,baostock,2026-09-08T21:06:08
sh.600111,600111.SS,北方稀土,1997-09-24,,1,1,C32有色金属冶炼和压延加工业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600115,600115.SS,中国东航,1997-11-05,,1,1,G56航空运输业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600118,600118.SS,中国卫星,1997-09-08,,1,1,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600132,600132.SS,重庆啤酒,1997-10-30,,1,1,C15酒、饮料和精制茶制造业,证监会行业分类,2026-09-07,2021-07-31,2024-11-30,0,baostock,2026-09-08T21:06:08
sh.600143,600143.SS,金发科技,2004-06-23,,1,1,C29橡胶和塑料制品业,证监会行业分类,2026-09-07,2021-07-31,2022-05-31,0,baostock,2026-09-08T21:06:08
sh.600150,600150.SS,中国船舶,1998-05-20,,1,1,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类,2026-09-07,2020-12-31,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600153,600153.SS,建发股份,1998-06-16,,1,1,L72商务服务业,证监会行业分类,2026-09-07,2019-01-01,2020-05-31,0,baostock,2026-09-08T21:06:08
sh.600157,600157.SS,永泰能源,1998-05-13,,1,1,D44电力、热力生产和供应业,证监会行业分类,2026-09-07,2019-01-01,2019-05-31,0,baostock,2026-09-08T21:06:08
sh.600160,600160.SS,巨化股份,1998-06-26,,1,1,C26化学原料和化学制品制造业,证监会行业分类,2026-09-07,2024-12-31,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600161,600161.SS,天坛生物,1998-06-16,,1,1,C27医药制造业,证监会行业分类,2026-09-07,2020-12-31,2026-05-31,0,baostock,2026-09-08T21:06:08
sh.600170,600170.SS,上海建工,1998-06-23,,1,1,E48土木工程建筑业,证监会行业分类,2026-09-07,2019-01-01,2020-11-30,0,baostock,2026-09-08T21:06:08
sh.600176,600176.SS,中国巨石,1999-04-22,,1,1,C30非金属矿物制品业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600177,600177.SS,雅戈尔,1998-11-19,,1,1,C18纺织服装、服饰业,证监会行业分类,2026-09-07,2019-01-01,2021-06-30,0,baostock,2026-09-08T21:06:08
sh.600183,600183.SS,生益科技,1998-10-28,,1,1,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-09-07,2019-12-31,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600188,600188.SS,兖矿能源,1998-07-01,,1,1,B06煤炭开采和洗选业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600196,600196.SS,复星医药,1998-08-07,,1,1,C27医药制造业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600208,600208.SS,衢州发展,1999-06-23,,1,1,K70房地产业,证监会行业分类,2026-09-07,2019-01-01,2021-06-30,0,baostock,2026-09-08T21:06:08
sh.600219,600219.SS,南山铝业,1999-12-23,,1,1,C32有色金属冶炼和压延加工业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600221,600221.SS,海航控股,1999-11-25,,1,1,G56航空运输业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600233,600233.SS,圆通速递,2000-06-08,,1,1,G60邮政业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600271,600271.SS,航天信息,2003-07-11,,1,1,I65软件和信息技术服务业,证监会行业分类,2026-09-07,2019-01-01,2021-06-30,0,baostock,2026-09-08T21:06:08
sh.600276,600276.SS,恒瑞医药,2000-10-18,,1,1,C27医药制造业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600297,600297.SS,广汇汽车,2000-11-16,2024-08-28,1,0,Unknown,证监会行业分类,2026-09-07,2019-01-01,2021-06-30,0,baostock,2026-09-08T21:06:08
sh.600299,600299.SS,安迪苏,2000-04-20,,1,1,C14食品制造业,证监会行业分类,2026-09-07,2019-06-30,2021-12-31,0,baostock,2026-09-08T21:06:08
sh.600309,600309.SS,万华化学,2001-01-05,,1,1,C26化学原料和化学制品制造业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600332,600332.SS,白云山,2001-02-06,,1,1,C27医药制造业,证监会行业分类,2026-09-07,2019-01-01,2025-11-30,0,baostock,2026-09-08T21:06:08
sh.600339,600339.SS,中油工程,2000-12-25,,1,1,B11开采专业及辅助性活动,证监会行业分类,2026-09-07,2019-01-01,2019-11-30,0,baostock,2026-09-08T21:06:08
sh.600340,600340.SS,*ST华幸,2003-12-30,,1,1,K70房地产业,证监会行业分类,2026-09-07,2019-01-01,2021-12-31,0,baostock,2026-09-08T21:06:08
sh.600346,600346.SS,恒力石化,2001-08-20,,1,1,C26化学原料和化学制品制造业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600352,600352.SS,浙江龙盛,2003-08-01,,1,1,C26化学原料和化学制品制造业,证监会行业分类,2026-09-07,2019-01-01,2023-02-28,0,baostock,2026-09-08T21:06:08
sh.600362,600362.SS,江西铜业,2002-01-11,,1,1,C32有色金属冶炼和压延加工业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600369,600369.SS,西南证券,2001-01-09,,1,1,J67资本市场服务,证监会行业分类,2026-09-07,2019-01-01,2021-06-30,0,baostock,2026-09-08T21:06:08
sh.600372,600372.SS,中航机载,2001-07-06,,1,1,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600377,600377.SS,宁沪高速,2001-01-16,,1,1,G54道路运输业,证监会行业分类,2026-09-07,2024-12-31,2026-05-31,0,baostock,2026-09-08T21:06:08
sh.600383,600383.SS,金地集团,2001-04-12,,1,1,K70房地产业,证监会行业分类,2026-09-07,2019-01-01,2023-11-30,0,baostock,2026-09-08T21:06:08
sh.600390,600390.SS,五矿资本,2001-01-15,,1,1,J69其他金融业,证监会行业分类,2026-09-07,2019-01-01,2021-06-30,0,baostock,2026-09-08T21:06:08
sh.600398,600398.SS,海澜之家,2000-12-28,,1,1,C18纺织服装、服饰业,证监会行业分类,2026-09-07,2019-01-01,2020-11-30,0,baostock,2026-09-08T21:06:08
sh.600406,600406.SS,国电南瑞,2003-10-16,,1,1,I65软件和信息技术服务业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600415,600415.SS,小商品城,2002-05-09,,1,1,L72商务服务业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600426,600426.SS,华鲁恒升,2002-06-20,,1,1,C26化学原料和化学制品制造业,证监会行业分类,2026-09-07,2021-07-31,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600436,600436.SS,片仔癀,2003-06-16,,1,1,C27医药制造业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600438,600438.SS,通威股份,2004-03-02,,1,1,C38电气机械和器材制造业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600460,600460.SS,士兰微,2003-03-11,,1,1,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-09-07,2022-06-30,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600482,600482.SS,中国动力,2004-07-14,,1,1,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600487,600487.SS,亨通光电,2003-08-22,,1,1,C38电气机械和器材制造业,证监会行业分类,2026-09-07,2019-01-01,2021-06-30,0,baostock,2026-09-08T21:06:08
sh.600489,600489.SS,中金黄金,2003-08-14,,1,1,B09有色金属矿采选业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600498,600498.SS,烽火通信,2001-08-23,,1,1,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-09-07,2019-01-01,2021-06-30,0,baostock,2026-09-08T21:06:08
sh.600515,600515.SS,海南机场,2002-08-06,,1,1,K70房地产业,证监会行业分类,2026-09-07,2023-12-31,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600516,600516.SS,方大炭素,2002-08-30,,1,1,C30非金属矿物制品业,证监会行业分类,2026-09-07,2019-01-01,2020-11-30,0,baostock,2026-09-08T21:06:08
sh.600518,600518.SS,康美药业,2001-03-19,,1,1,C27医药制造业,证监会行业分类,2026-09-07,2019-01-01,2019-05-31,0,baostock,2026-09-08T21:06:08
sh.600519,600519.SS,贵州茅台,2001-08-27,,1,1,C15酒、饮料和精制茶制造业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600521,600521.SS,华海药业,2003-03-04,,1,1,C27医药制造业,证监会行业分类,2026-09-07,2021-07-31,2021-12-31,0,baostock,2026-09-08T21:06:08
sh.600522,600522.SS,中天科技,2002-10-24,,1,1,C38电气机械和器材制造业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600535,600535.SS,天士力,2002-08-23,,1,1,C27医药制造业,证监会行业分类,2026-09-07,2019-01-01,2020-05-31,0,baostock,2026-09-08T21:06:08
sh.600547,600547.SS,山东黄金,2003-08-28,,1,1,B09有色金属矿采选业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600549,600549.SS,厦门钨业,2002-11-07,,1,1,C32有色金属冶炼和压延加工业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600566,600566.SS,济川药业,2001-08-22,,1,1,C27医药制造业,证监会行业分类,2026-09-07,2019-01-01,2020-05-31,0,baostock,2026-09-08T21:06:08
sh.600570,600570.SS,恒生电子,2003-12-16,,1,1,I65软件和信息技术服务业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600583,600583.SS,海油工程,2002-02-05,,1,1,B11开采专业及辅助性活动,证监会行业分类,2026-09-07,2019-01-01,2020-11-30,0,baostock,2026-09-08T21:06:08
sh.600584,600584.SS,长电科技,2003-06-03,,1,1,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-09-07,2020-12-31,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600585,600585.SS,海螺水泥,2002-02-07,,1,1,C30非金属矿物制品业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600588,600588.SS,用友网络,2001-05-18,,1,1,I65软件和信息技术服务业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600600,600600.SS,青岛啤酒,1993-08-27,,1,1,C15酒、饮料和精制茶制造业,证监会行业分类,2026-09-07,2020-12-31,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600606,600606.SS,绿地控股,1992-03-27,,1,1,E48土木工程建筑业,证监会行业分类,2026-09-07,2019-01-01,2024-05-31,0,baostock,2026-09-08T21:06:08
sh.600637,600637.SS,东方明珠,1993-03-16,,1,1,I63电信、广播电视和卫星传输服务,证监会行业分类,2026-09-07,2019-01-01,2021-06-30,0,baostock,2026-09-08T21:06:08
sh.600655,600655.SS,豫园股份,1992-09-02,,1,1,F52零售业,证监会行业分类,2026-09-07,2019-12-31,2023-02-28,0,baostock,2026-09-08T21:06:08
sh.600660,600660.SS,福耀玻璃,1993-06-10,,1,1,C30非金属矿物制品业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600663,600663.SS,陆家嘴,1993-06-28,,1,1,K70房地产业,证监会行业分类,2026-09-07,2019-06-30,2020-05-31,0,baostock,2026-09-08T21:06:08
sh.600674,600674.SS,川投能源,1993-09-24,,1,1,D44电力、热力生产和供应业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
