date,trained_return,original_return,benchmark_return,trained_value,original_value,benchmark_value,trained_transaction_cost,original_transaction_cost
2025-01-03,-0.004589339675915661,-0.009162228409438589,-0.011841689715943349,97315.81163073047,95541.2862046945,97021.87266669594,0.0,0.0
2025-01-06,0.003124121237228472,-0.0019348373672078755,-0.0016396501208849612,97619.83802456416,95356.42935403455,96862.79074144951,0.0,0.0
2025-01-07,-0.006710710050331636,0.002134559633116684,0.007200942679224109,96964.73959642097,95559.97333889181,97560.29414532837,0.0,0.0
2025-01-08,0.002603017924981298,0.005256855460965349,-0.0018150518619780565,97217.14055168159,96062.31830658807,97383.21715178477,0.0,0.0
2025-01-09,-0.0004949107766286875,-0.0006818983247546928,-0.0024649104466986094,97169.02674114953,95996.81357266275,97143.17624249423,0.0,0.0
2025-01-10,-0.011764709846691736,-0.011500036926020375,-0.012540055190452537,96025.86133545448,94892.84667179684,95924.99545103748,0.0,0.0
2025-01-13,-0.006749879901479416,-0.006117189078350283,-0.0026711384268088834,95377.69830400405,94312.36918652256,95668.76650959675,0.0,0.0
2025-01-14,0.02572779593523733,0.017211839785424312,0.026334389710088946,97831.55626274209,95935.65857474478,98188.145089944,0.0,0.0
2025-01-15,-0.00040234746573453205,-0.003213857004627463,-0.006415325978795239,97792.19398401091,95627.33508644078,97558.23613193876,0.0,0.0
2025-01-16,0.001049250523124967,-0.0016831172384845993,0.001145895443938505,97894.80249470618,95466.38307028647,97670.02767024102,0.0,0.0
2025-01-17,0.0019378606515925833,0.0014041601350742064,0.003147107775255842,98084.50898045608,95600.4331596335,97977.40577373149,0.0,0.0
2025-01-20,0.011653732138727226,0.004068399248545495,0.0045483465142781565,99227.55957507293,95989.37389006077,98423.04096576046,0.0,0.0
2025-01-21,-0.00082886087978411,-0.0023289187183023197,0.0007651228910909857,99145.3137327447,95765.8224404501,98498.34668741414,0.0,0.0
2025-01-22,-0.017534027376746208,-0.01630792501379155,-0.009286122744837644,97406.89708747866,94204.08058920715,97583.67894991123,0.0,0.0
2025-01-23,0.00447802714678538,0.005840137162634719,0.001769801230585788,97843.08781692052,94754.245341128,97756.38266500187,0.0,0.0
2025-01-24,0.009779795880183384,-0.002204785370462381,0.0076556539779959465,98799.97324405686,94545.33256721069,98504.77170482569,0.0,0.0
2025-01-27,-0.0022277785058894433,0.005597959610678217,-0.004117037631067966,98579.8687872813,95074.59352030007,98099.22385287716,0.0,0.0
2025-02-05,-0.005512956620825715,-0.018591422233754252,-0.005763567844981332,98036.40224697032,93307.02160846163,97533.82232066109,0.0006000000000000001,0.0006000000000000001
2025-02-06,0.027616786419783736,-0.0004410231578889425,0.012582079697140758,100743.85262918893,93265.87105113865,98761.00064626642,0.0,0.0
2025-02-07,0.028961873725384415,0.004799329843173794,0.012977381781920316,103661.58336764424,93713.48472942399,100042.65985681751,0.0,0.0
2025-02-10,-0.0018509669146483888,-0.0009543431035902159,0.00214763725094147,103469.70920651067,93624.04991155906,100257.51519980928,0.0,0.0
2025-02-11,-0.011132273179066732,0.0025126647147756254,-0.0045936657591693075,102317.8561378652,93859.29575822622,99796.96568513651,0.0,0.0
2025-02-12,0.017458160475820474,0.0030869131780560054,0.009456320364335413,104104.13768986195,94149.03125518533,100740.67776404376,0.0,0.0
2025-02-13,0.002201250516936737,0.0002826566989856617,-0.0037552908625179127,104333.29697676701,94175.64310957263,100362.36721735258,0.0,0.0
2025-02-14,0.02238154893503266,0.004434140634790973,0.008673214819236552,106668.43776860581,94593.23115549235,101232.83158799578,0.0,0.0
2025-02-17,-0.0046301686595007436,-0.0004724214485996475,0.0021299495450188832,106174.54491109171,94548.54328420215,101448.4524115776,0.0,0.0
2025-02-18,-0.0038437573797900585,0.00012051787702269676,-0.008770297893131995,105766.43572054384,94559.93807391437,100558.71926313084,0.0,0.0
2025-02-19,0.006656282995648111,-0.010389554412165138,0.006997552279323971,106470.44704814082,93577.50245208446,101262.38415831648,0.0,0.0
2025-02-20,0.004626622396535862,-0.0027320713871467504,-0.0028577545116936776,106963.04560302293,93321.84203515446,100973.00112312319,0.0,0.0
2025-02-21,0.028504903392772053,-0.008344075697103827,0.012609137492392453,110012.01688453375,92543.15752101997,102246.18357730415,0.0,0.0
2025-02-24,-0.004883825084684634,-0.002870899025415286,-0.002191806545166264,109474.73743685632,92277.47546028403,102022.07972292115,0.0,0.0
